Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
XXXLutz Werbespot 1997,XXXLutz,TV,2022-07-29,5342507,Marcel Hirscher,Erste Bank – Weil du zählst.,http://www.wiener.co.at/,YouTube Leaderboard
ÖBB Werbespot 2014,ÖBB,Facebook,2024-07-18,5631836,DJ Ötzi,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://hinterberger.co.at/,Meta Ads Library
Lidl Österreich Werbespot 2020,Lidl Österreich,Facebook,2025-01-27,4490690,,Spar – wo Qualität auf Preis trifft.,https://kreuzer.co.at/,YouTube Leaderboard
Hofer Werbespot 2004,Hofer,Instagram,2024-06-30,7772743,Manuel Rubey,ÖBB – Nachhaltig ans Ziel.,http://www.frick.co.at/,YouTube Leaderboard
ÖBB Werbespot 2023,ÖBB,Facebook,2023-11-21,6903779,Armin Assinger,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://poelzl-mair.org/,ORF
XXXLutz Werbespot 1987,XXXLutz,YouTube,2025-01-01,1779852,Marcel Hirscher,Bei Lidl Österreich ist mehr für dich drin.,http://www.windhager.com/,ORF
A1 Telekom Werbespot 2022,A1 Telekom,TV,2023-03-11,3328800,,Mit Hofer wird’s g’scheit günstig.,http://fritz-lintner.at/,YouTube Leaderboard
Erste Bank Werbespot 2019,Erste Bank,Facebook,2022-07-16,6259420,Christoph Waltz,ÖBB – Nachhaltig ans Ziel.,http://www.hutterer.org/,Horizont.at
Erste Bank Werbespot 2011,Erste Bank,TV,2021-12-27,7541484,,Bei Lidl Österreich ist mehr für dich drin.,http://oswald.at/,Statista AT
ÖBB Werbespot 2010,ÖBB,Facebook,2023-01-21,4284216,Anna Veith,Mit Hofer wird’s g’scheit günstig.,https://www.klocker.co.at/,Meta Ads Library
Red Bull Werbespot 1973,Red Bull,Facebook,2022-05-07,5273398,Conchita Wurst,Red Bull verleiht dir Flüüügel.,http://www.meindl.org/,Statista AT
Lidl Österreich Werbespot 2022,Lidl Österreich,TV,2021-05-14,3211254,Conchita Wurst,Bei Lidl Österreich ist mehr für dich drin.,http://fuerst.org/,Statista AT
Magenta Werbespot 1998,Magenta,TikTok,2022-02-06,7230743,Marcel Hirscher,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://schaller-rosner.com/,Meta Ads Library
Magenta Werbespot 1999,Magenta,Instagram,2024-09-13,945767,Marcel Hirscher,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.haidinger.com/,Statista AT
Billa Werbespot 1971,Billa,YouTube,2025-01-03,6067347,Petra Frey,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://www.burtscher.at/,Horizont.at
Billa Werbespot 1985,Billa,YouTube,2020-11-14,7312439,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://neugebauer.com/,Horizont.at
Lidl Österreich Werbespot 2015,Lidl Österreich,Facebook,2024-06-05,3146616,Anna Veith,Red Bull verleiht dir Flüüügel.,http://www.wilfinger.net/,Horizont.at
Magenta Werbespot 1986,Magenta,TikTok,2024-04-27,2729218,Armin Assinger,Mit Hofer wird’s g’scheit günstig.,https://www.eberharter.net/,Meta Ads Library
Spar Werbespot 1994,Spar,Instagram,2023-11-26,2018671,DJ Ötzi,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://brandstetter.at/,YouTube Leaderboard
Lidl Österreich Werbespot 1974,Lidl Österreich,YouTube,2023-09-21,6149685,Conchita Wurst,Mit Hofer wird’s g’scheit günstig.,https://www.gratzer.org/,Meta Ads Library
Magenta Werbespot 2000,Magenta,Facebook,2021-06-28,5544391,Christoph Waltz,Mit Hofer wird’s g’scheit günstig.,https://www.lutz-heindl.at/,Horizont.at
Billa Werbespot 2000,Billa,TikTok,2024-12-23,7328498,Marcel Hirscher,Bei Lidl Österreich ist mehr für dich drin.,http://www.ott.at/,Statista AT
A1 Telekom Werbespot 2021,A1 Telekom,Facebook,2022-04-23,5990649,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://mayer-haas.net/,Statista AT
ÖBB Werbespot 1973,ÖBB,TikTok,2021-09-12,3797340,Petra Frey,XXXLutz macht Wohnen zum Erlebnis.,https://www.hinterberger-steinboeck.net/,YouTube Leaderboard
A1 Telekom Werbespot 1989,A1 Telekom,Instagram,2023-11-24,186448,Conchita Wurst,Bei Lidl Österreich ist mehr für dich drin.,https://www.huter.at/,Horizont.at
A1 Telekom Werbespot 2009,A1 Telekom,Facebook,2024-11-28,70321,,XXXLutz macht Wohnen zum Erlebnis.,http://bodner.net/,Meta Ads Library
A1 Telekom Werbespot 2004,A1 Telekom,YouTube,2024-10-25,7221144,Conchita Wurst,Erste Bank – Weil du zählst.,http://www.danninger.at/,Meta Ads Library
Magenta Werbespot 2010,Magenta,Instagram,2020-11-16,5621792,Anna Veith,Mit Hofer wird’s g’scheit günstig.,http://wittmann.co.at/,YouTube Leaderboard
Magenta Werbespot 2009,Magenta,TikTok,2020-08-20,4843613,Christoph Waltz,Mit Hofer wird’s g’scheit günstig.,http://praxmarer.com/,YouTube Leaderboard
Hofer Werbespot 1987,Hofer,Facebook,2022-01-13,801262,Manuel Rubey,XXXLutz macht Wohnen zum Erlebnis.,https://www.kreiner-felber.com/,Statista AT
ÖBB Werbespot 2001,ÖBB,TV,2022-12-27,3927686,Manuel Rubey,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://www.reinprecht-pfleger.at/,Meta Ads Library
Red Bull Werbespot 1974,Red Bull,Instagram,2024-11-14,6725856,Manuel Rubey,XXXLutz macht Wohnen zum Erlebnis.,http://kerschbaumer.co.at/,YouTube Leaderboard
A1 Telekom Werbespot 1995,A1 Telekom,TikTok,2022-09-21,3773243,Anna Veith,Red Bull verleiht dir Flüüügel.,http://schmied.org/,Statista AT
Billa Werbespot 1970,Billa,TV,2025-01-06,2105528,Marcel Hirscher,XXXLutz macht Wohnen zum Erlebnis.,https://www.himmelbauer.at/,Statista AT
Magenta Werbespot 2020,Magenta,YouTube,2025-01-01,5480587,Conchita Wurst,ÖBB – Nachhaltig ans Ziel.,http://rath-goeschl.com/,Meta Ads Library
Spar Werbespot 1983,Spar,Facebook,2022-07-18,3419248,Anna Veith,Mit Hofer wird’s g’scheit günstig.,https://dorn.net/,Statista AT
A1 Telekom Werbespot 1988,A1 Telekom,YouTube,2020-09-02,1391076,Manuel Rubey,Magenta – So geht Internet heute.,http://riedler.co.at/,Meta Ads Library
XXXLutz Werbespot 2020,XXXLutz,TV,2024-01-21,2402843,Marcel Hirscher,Magenta – So geht Internet heute.,https://www.boesch.co.at/,Horizont.at
Hofer Werbespot 2007,Hofer,Facebook,2020-08-08,2498965,Christoph Waltz,Spar – wo Qualität auf Preis trifft.,https://www.feichter-biedermann.com/,Meta Ads Library
Lidl Österreich Werbespot 1994,Lidl Österreich,YouTube,2020-08-20,6284473,,Erste Bank – Weil du zählst.,https://www.heindl.com/,Meta Ads Library
Red Bull Werbespot 2023,Red Bull,TV,2025-01-22,4228214,,ÖBB – Nachhaltig ans Ziel.,https://www.weiser.co.at/,YouTube Leaderboard
Red Bull Werbespot 1998,Red Bull,YouTube,2020-07-05,7151578,,Red Bull verleiht dir Flüüügel.,http://strasser-schaffer.co.at/,Meta Ads Library
Lidl Österreich Werbespot 1988,Lidl Österreich,Facebook,2021-08-26,3397114,Conchita Wurst,XXXLutz macht Wohnen zum Erlebnis.,http://weber.co.at/,Horizont.at
A1 Telekom Werbespot 1983,A1 Telekom,TikTok,2024-03-19,343377,,Bei Lidl Österreich ist mehr für dich drin.,https://haiden.co.at/,Meta Ads Library
XXXLutz Werbespot 1997,XXXLutz,TikTok,2023-02-02,4751467,,ÖBB – Nachhaltig ans Ziel.,https://www.kirchmair-riener.org/,ORF
Erste Bank Werbespot 1997,Erste Bank,Instagram,2024-11-09,2012242,Anna Veith,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.wiesbauer.co.at/,Statista AT
Billa Werbespot 2009,Billa,Instagram,2022-07-22,3845477,,Erste Bank – Weil du zählst.,http://www.lederer.com/,Meta Ads Library
Red Bull Werbespot 1999,Red Bull,TikTok,2024-08-24,4732732,Petra Frey,XXXLutz macht Wohnen zum Erlebnis.,http://grassl.net/,Meta Ads Library
Magenta Werbespot 1970,Magenta,TikTok,2024-09-20,2234662,Anna Veith,Red Bull verleiht dir Flüüügel.,http://burgstaller-santner.com/,ORF
Spar Werbespot 2012,Spar,Instagram,2022-12-20,2400647,Anna Veith,Red Bull verleiht dir Flüüügel.,http://huebner.com/,Statista AT
Magenta Werbespot 1997,Magenta,TikTok,2022-10-24,6780445,Marcel Hirscher,ÖBB – Nachhaltig ans Ziel.,http://www.santner-kollmann.co.at/,Meta Ads Library
Magenta Werbespot 2011,Magenta,YouTube,2025-02-20,7886315,Marcel Hirscher,Red Bull verleiht dir Flüüügel.,https://trinkl.com/,ORF
Spar Werbespot 1984,Spar,TikTok,2023-12-15,1313991,Conchita Wurst,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://lenz-scharinger.co.at/,ORF
Lidl Österreich Werbespot 2004,Lidl Österreich,Instagram,2024-04-28,1717898,Anna Veith,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://www.neuhauser-sammer.org/,Horizont.at
Hofer Werbespot 1992,Hofer,YouTube,2021-02-03,784255,Marcel Hirscher,Magenta – So geht Internet heute.,http://strobl.co.at/,ORF
Red Bull Werbespot 1971,Red Bull,Instagram,2020-09-09,6478616,Armin Assinger,Red Bull verleiht dir Flüüügel.,http://walch.net/,ORF
Billa Werbespot 1998,Billa,TikTok,2025-03-12,5929567,Petra Frey,Magenta – So geht Internet heute.,http://kriegl-hauser.co.at/,Horizont.at
Red Bull Werbespot 2014,Red Bull,YouTube,2020-05-06,7937661,Conchita Wurst,Red Bull verleiht dir Flüüügel.,http://geiger.org/,Horizont.at
Red Bull Werbespot 2001,Red Bull,TikTok,2020-09-22,4644916,DJ Ötzi,Red Bull verleiht dir Flüüügel.,http://www.fellinger-stolz.net/,Statista AT
Billa Werbespot 2015,Billa,Instagram,2024-10-25,3068918,Armin Assinger,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://stuetz.org/,ORF
A1 Telekom Werbespot 1999,A1 Telekom,Facebook,2024-12-16,5604642,,XXXLutz macht Wohnen zum Erlebnis.,https://www.weidinger.com/,ORF
Magenta Werbespot 2021,Magenta,TikTok,2022-05-27,6297073,Manuel Rubey,Red Bull verleiht dir Flüüügel.,https://haslinger.at/,YouTube Leaderboard
Billa Werbespot 2018,Billa,TV,2022-09-23,217923,Christoph Waltz,Red Bull verleiht dir Flüüügel.,http://jung-wurm.org/,ORF
XXXLutz Werbespot 1975,XXXLutz,Facebook,2021-06-22,2248128,,Red Bull verleiht dir Flüüügel.,http://www.schinagl-frick.co.at/,Meta Ads Library
XXXLutz Werbespot 1974,XXXLutz,TV,2023-10-29,1875909,Armin Assinger,Spar – wo Qualität auf Preis trifft.,https://maier.co.at/,Statista AT
ÖBB Werbespot 1998,ÖBB,Facebook,2023-08-12,1880018,Marcel Hirscher,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://aigner-kirchner.com/,YouTube Leaderboard
XXXLutz Werbespot 2021,XXXLutz,Instagram,2023-08-13,7260718,DJ Ötzi,XXXLutz macht Wohnen zum Erlebnis.,https://www.hagen-hofer.net/,ORF
ÖBB Werbespot 2003,ÖBB,TikTok,2020-07-18,3362745,,ÖBB – Nachhaltig ans Ziel.,https://schauer.co.at/,ORF
Red Bull Werbespot 2001,Red Bull,Instagram,2021-05-20,1507935,Conchita Wurst,Bei Lidl Österreich ist mehr für dich drin.,http://philipp.at/,ORF
Red Bull Werbespot 2013,Red Bull,TikTok,2023-12-11,3655385,Conchita Wurst,Erste Bank – Weil du zählst.,http://bodner.net/,ORF
XXXLutz Werbespot 1992,XXXLutz,TikTok,2022-02-05,980107,,Magenta – So geht Internet heute.,https://sonnleitner-wiesinger.net/,Horizont.at
A1 Telekom Werbespot 1988,A1 Telekom,YouTube,2023-11-19,5955721,Marcel Hirscher,Magenta – So geht Internet heute.,https://www.bacher-seiser.org/,Meta Ads Library
Magenta Werbespot 1973,Magenta,Facebook,2023-04-11,3065311,,Magenta – So geht Internet heute.,http://www.bichler.co.at/,Meta Ads Library
ÖBB Werbespot 1983,ÖBB,Instagram,2020-06-21,5574897,,XXXLutz macht Wohnen zum Erlebnis.,http://www.maringer.at/,ORF
Magenta Werbespot 2008,Magenta,TV,2022-02-25,2746220,Marcel Hirscher,Magenta – So geht Internet heute.,https://gahleitner-rauch.org/,ORF
Magenta Werbespot 2020,Magenta,Facebook,2021-04-09,3536959,Christoph Waltz,Magenta – So geht Internet heute.,http://polzer.com/,YouTube Leaderboard
Lidl Österreich Werbespot 2009,Lidl Österreich,Instagram,2023-06-29,3416405,,ÖBB – Nachhaltig ans Ziel.,https://www.puntigam.co.at/,Meta Ads Library
Erste Bank Werbespot 1976,Erste Bank,Facebook,2022-11-11,3616163,Marcel Hirscher,Bei Lidl Österreich ist mehr für dich drin.,http://www.oberleitner-lang.com/,Horizont.at
ÖBB Werbespot 1974,ÖBB,TV,2024-08-07,3719105,Petra Frey,Spar – wo Qualität auf Preis trifft.,https://www.thaler-metzler.at/,Horizont.at
Hofer Werbespot 1999,Hofer,YouTube,2023-05-19,2390572,Christoph Waltz,ÖBB – Nachhaltig ans Ziel.,https://www.geiger-schweitzer.org/,Horizont.at
ÖBB Werbespot 2014,ÖBB,Facebook,2022-08-06,5653819,Conchita Wurst,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://thurner-schwarzl.org/,YouTube Leaderboard
A1 Telekom Werbespot 1988,A1 Telekom,YouTube,2023-01-15,397668,Christoph Waltz,Spar – wo Qualität auf Preis trifft.,http://www.wild-lindinger.co.at/,Statista AT
Lidl Österreich Werbespot 2021,Lidl Österreich,TV,2024-04-01,3486583,Conchita Wurst,Bei Lidl Österreich ist mehr für dich drin.,https://mitterer.co.at/,YouTube Leaderboard
XXXLutz Werbespot 2003,XXXLutz,TV,2022-02-07,2056689,Petra Frey,Red Bull verleiht dir Flüüügel.,https://holl-wiesner.org/,Meta Ads Library
Spar Werbespot 2017,Spar,Facebook,2022-08-25,1485444,Manuel Rubey,ÖBB – Nachhaltig ans Ziel.,http://www.haumer.net/,Statista AT
Red Bull Werbespot 2003,Red Bull,Facebook,2025-01-07,7706296,,XXXLutz macht Wohnen zum Erlebnis.,http://schramm.at/,Statista AT
Billa Werbespot 1976,Billa,TikTok,2022-10-20,4698605,Petra Frey,Bei Lidl Österreich ist mehr für dich drin.,http://hauser.org/,ORF
Hofer Werbespot 1995,Hofer,TikTok,2024-04-28,3589760,,ÖBB – Nachhaltig ans Ziel.,https://peer.net/,Statista AT
Billa Werbespot 1988,Billa,TV,2022-11-27,2184256,Petra Frey,Spar – wo Qualität auf Preis trifft.,https://www.schuh.com/,ORF
Magenta Werbespot 1978,Magenta,Facebook,2024-11-08,2313490,Petra Frey,Mit Hofer wird’s g’scheit günstig.,http://www.schoeller.com/,Meta Ads Library
Erste Bank Werbespot 2019,Erste Bank,Instagram,2024-10-04,2827293,Anna Veith,Erste Bank – Weil du zählst.,https://www.huter.com/,Horizont.at
Spar Werbespot 1982,Spar,Facebook,2022-11-14,1949961,Christoph Waltz,Magenta – So geht Internet heute.,http://www.bittner-brandstetter.org/,YouTube Leaderboard
A1 Telekom Werbespot 1989,A1 Telekom,TV,2021-05-16,3429191,Conchita Wurst,Erste Bank – Weil du zählst.,https://www.pock.net/,Horizont.at
Hofer Werbespot 2002,Hofer,YouTube,2024-01-17,1745052,Manuel Rubey,Magenta – So geht Internet heute.,https://www.heinzl.at/,Statista AT
Lidl Österreich Werbespot 1974,Lidl Österreich,TikTok,2023-09-15,3200867,Armin Assinger,Mit Hofer wird’s g’scheit günstig.,https://www.reithofer.co.at/,Meta Ads Library
ÖBB Werbespot 1980,ÖBB,TV,2025-01-31,7169240,Marcel Hirscher,Magenta – So geht Internet heute.,https://www.ernst.net/,Horizont.at
Magenta Werbespot 2011,Magenta,Facebook,2022-03-21,4105565,,Spar – wo Qualität auf Preis trifft.,https://hutter-wechselberger.org/,ORF
XXXLutz Werbespot 1999,XXXLutz,YouTube,2022-11-23,3271970,Petra Frey,Erste Bank – Weil du zählst.,http://www.reisner.com/,Statista AT
Billa Werbespot 2014,Billa,Facebook,2020-12-27,5229869,Petra Frey,ÖBB – Nachhaltig ans Ziel.,http://www.pendl.co.at/,Meta Ads Library
XXXLutz Werbespot 1970,XXXLutz,TikTok,2023-10-10,5571645,,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://becker-handl.com/,Meta Ads Library
XXXLutz Werbespot 2018,XXXLutz,TV,2022-09-14,1534453,Christoph Waltz,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://www.haring.org/,ORF
XXXLutz Werbespot 2014,XXXLutz,Facebook,2021-12-24,3824294,DJ Ötzi,Erste Bank – Weil du zählst.,https://www.haidinger.com/,ORF
XXXLutz Werbespot 1979,XXXLutz,TV,2020-11-26,2126206,Marcel Hirscher,XXXLutz macht Wohnen zum Erlebnis.,http://www.poell-seiler.org/,Statista AT
Red Bull Werbespot 1989,Red Bull,YouTube,2024-01-13,7995281,,Erste Bank – Weil du zählst.,http://hoeglinger.com/,YouTube Leaderboard
Spar Werbespot 2004,Spar,YouTube,2024-11-21,6336966,,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://puehringer.net/,YouTube Leaderboard
A1 Telekom Werbespot 2019,A1 Telekom,TikTok,2023-01-15,1288275,Armin Assinger,Spar – wo Qualität auf Preis trifft.,https://www.hammer.org/,YouTube Leaderboard
Hofer Werbespot 2009,Hofer,YouTube,2020-06-22,4740919,,Spar – wo Qualität auf Preis trifft.,https://www.mandl.net/,Statista AT
Erste Bank Werbespot 1988,Erste Bank,Facebook,2021-11-03,5092596,DJ Ötzi,Bei Lidl Österreich ist mehr für dich drin.,https://mandl.net/,Meta Ads Library
Billa Werbespot 1992,Billa,YouTube,2023-01-11,4864359,Marcel Hirscher,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://www.kaefer-schinagl.net/,ORF
Lidl Österreich Werbespot 1989,Lidl Österreich,TV,2023-09-15,3337378,,Spar – wo Qualität auf Preis trifft.,http://jauk.com/,Meta Ads Library
Lidl Österreich Werbespot 1977,Lidl Österreich,Facebook,2023-09-26,864810,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://brandstetter-graf.org/,Horizont.at
Spar Werbespot 1994,Spar,YouTube,2024-07-15,2922556,,ÖBB – Nachhaltig ans Ziel.,https://www.hinterleitner.co.at/,Statista AT
ÖBB Werbespot 1989,ÖBB,TikTok,2024-01-10,5441986,Conchita Wurst,Erste Bank – Weil du zählst.,https://www.reitinger.co.at/,Meta Ads Library
XXXLutz Werbespot 2018,XXXLutz,YouTube,2021-08-24,3646657,Petra Frey,Erste Bank – Weil du zählst.,https://www.kummer.at/,Statista AT
Billa Werbespot 2001,Billa,Facebook,2021-04-18,6165521,Manuel Rubey,ÖBB – Nachhaltig ans Ziel.,http://huemer.com/,ORF
Lidl Österreich Werbespot 1998,Lidl Österreich,TV,2024-05-27,3909643,,Magenta – So geht Internet heute.,https://www.peham-foidl.net/,Horizont.at
Erste Bank Werbespot 1982,Erste Bank,Facebook,2024-08-15,6978676,DJ Ötzi,XXXLutz macht Wohnen zum Erlebnis.,http://www.staudacher-steinwender.net/,ORF
Hofer Werbespot 1993,Hofer,TV,2024-08-13,4790245,Anna Veith,Bei Lidl Österreich ist mehr für dich drin.,https://www.schwab-hutterer.org/,Statista AT
ÖBB Werbespot 2009,ÖBB,TV,2024-06-18,7148309,Armin Assinger,Erste Bank – Weil du zählst.,http://mayrhofer.org/,YouTube Leaderboard
Hofer Werbespot 2021,Hofer,Instagram,2024-12-02,6702702,Anna Veith,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://weninger-grasser.co.at/,ORF
Erste Bank Werbespot 2008,Erste Bank,Instagram,2023-07-22,4672313,,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://jovanovic.net/,Horizont.at
A1 Telekom Werbespot 2017,A1 Telekom,Facebook,2023-07-17,6050424,Conchita Wurst,Magenta – So geht Internet heute.,https://www.bergmann-feichtenschlager.org/,Statista AT
Magenta Werbespot 2010,Magenta,TV,2023-02-14,5428226,Anna Veith,Mit Hofer wird’s g’scheit günstig.,http://niederl.at/,Statista AT
Red Bull Werbespot 2019,Red Bull,Instagram,2021-07-10,1868885,Conchita Wurst,Magenta – So geht Internet heute.,https://www.mairhofer.com/,YouTube Leaderboard
Erste Bank Werbespot 2012,Erste Bank,TikTok,2023-09-05,3105567,,Mit Hofer wird’s g’scheit günstig.,http://weber.com/,Horizont.at
Magenta Werbespot 2012,Magenta,TV,2024-06-13,6267359,DJ Ötzi,ÖBB – Nachhaltig ans Ziel.,http://www.renner.com/,ORF
ÖBB Werbespot 1985,ÖBB,Instagram,2021-01-24,2582140,Petra Frey,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.schmied.net/,YouTube Leaderboard
Spar Werbespot 1981,Spar,Instagram,2022-11-05,1012897,Anna Veith,ÖBB – Nachhaltig ans Ziel.,http://www.stock-brandtner.com/,YouTube Leaderboard
A1 Telekom Werbespot 1994,A1 Telekom,TV,2023-06-27,2329446,Anna Veith,Bei Lidl Österreich ist mehr für dich drin.,https://www.oberhauser.org/,Horizont.at
Lidl Österreich Werbespot 2016,Lidl Österreich,YouTube,2021-10-30,6994592,Marcel Hirscher,Spar – wo Qualität auf Preis trifft.,http://www.rechberger.org/,ORF
A1 Telekom Werbespot 2016,A1 Telekom,Facebook,2022-05-07,2545604,DJ Ötzi,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://www.luttenberger.com/,Horizont.at
Billa Werbespot 2001,Billa,YouTube,2022-06-21,467397,Marcel Hirscher,ÖBB – Nachhaltig ans Ziel.,http://schatz-pauer.co.at/,ORF
Billa Werbespot 1975,Billa,TV,2024-01-21,870567,,"Jetzt neu bei Billa – frisch, regional, leiwand.",https://lampert.net/,Horizont.at
Erste Bank Werbespot 1990,Erste Bank,TV,2021-12-28,3704920,Petra Frey,Erste Bank – Weil du zählst.,https://hartmann.org/,YouTube Leaderboard
Red Bull Werbespot 1994,Red Bull,TV,2025-03-09,967032,Marcel Hirscher,XXXLutz macht Wohnen zum Erlebnis.,https://trattner.net/,Statista AT
Hofer Werbespot 1988,Hofer,TikTok,2020-05-14,5290173,Conchita Wurst,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://stefan-stockinger.co.at/,YouTube Leaderboard
Billa Werbespot 2011,Billa,Instagram,2023-04-18,724549,,Spar – wo Qualität auf Preis trifft.,http://www.heinrich.co.at/,Meta Ads Library
Magenta Werbespot 2012,Magenta,TikTok,2021-02-14,5010674,Manuel Rubey,Bei Lidl Österreich ist mehr für dich drin.,http://beer-posch.com/,YouTube Leaderboard
Magenta Werbespot 2019,Magenta,TV,2021-06-01,7631087,Manuel Rubey,Mit Hofer wird’s g’scheit günstig.,http://seifert-koelbl.co.at/,ORF
Lidl Österreich Werbespot 1983,Lidl Österreich,Instagram,2021-06-03,4780009,Manuel Rubey,Bei Lidl Österreich ist mehr für dich drin.,https://heller.com/,Meta Ads Library
Lidl Österreich Werbespot 2020,Lidl Österreich,Facebook,2023-03-07,5257200,Conchita Wurst,Spar – wo Qualität auf Preis trifft.,http://fitz.net/,ORF
Spar Werbespot 2024,Spar,Facebook,2025-01-14,1468053,Christoph Waltz,ÖBB – Nachhaltig ans Ziel.,https://www.artner-himmelbauer.org/,Meta Ads Library
Billa Werbespot 1978,Billa,TV,2024-03-01,3789098,Armin Assinger,Bei Lidl Österreich ist mehr für dich drin.,https://konrad.com/,Statista AT
Erste Bank Werbespot 1977,Erste Bank,Facebook,2022-04-15,2426798,Armin Assinger,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.wimmer.org/,Statista AT
Spar Werbespot 1985,Spar,Facebook,2020-11-01,7760327,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://kunz.at/,Horizont.at
A1 Telekom Werbespot 1972,A1 Telekom,YouTube,2022-11-20,4578120,Manuel Rubey,Spar – wo Qualität auf Preis trifft.,https://www.harrer.co.at/,YouTube Leaderboard
Erste Bank Werbespot 1996,Erste Bank,YouTube,2024-02-27,510280,Christoph Waltz,Red Bull verleiht dir Flüüügel.,https://schoepf.net/,ORF
Lidl Österreich Werbespot 2014,Lidl Österreich,Instagram,2021-02-20,3693886,,XXXLutz macht Wohnen zum Erlebnis.,https://becker-schiestl.com/,Statista AT
Erste Bank Werbespot 1984,Erste Bank,Instagram,2024-01-26,4208264,Manuel Rubey,ÖBB – Nachhaltig ans Ziel.,https://www.ebner-scherz.com/,Statista AT
Hofer Werbespot 2007,Hofer,TikTok,2023-05-08,344376,Conchita Wurst,Magenta – So geht Internet heute.,http://grassl-fankhauser.net/,ORF
Lidl Österreich Werbespot 1976,Lidl Österreich,YouTube,2022-02-06,776105,Marcel Hirscher,Spar – wo Qualität auf Preis trifft.,http://www.hauser-fehringer.org/,Horizont.at
Lidl Österreich Werbespot 1983,Lidl Österreich,Instagram,2020-11-18,4843910,Armin Assinger,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://www.kaiser.org/,YouTube Leaderboard
Hofer Werbespot 1970,Hofer,TV,2022-08-28,7694575,,Schneller surfen mit A1 – Österreichs schnellstes Netz.,http://www.heinrich.at/,YouTube Leaderboard
Lidl Österreich Werbespot 2014,Lidl Österreich,TV,2020-07-08,775396,Manuel Rubey,Mit Hofer wird’s g’scheit günstig.,http://www.steinwender-steinlechner.co.at/,ORF
